ID,r[kpc],tv[Gyrs],distancia[kpc],rapidez_M_inf,Class,Teff_LASP,e_Teff_LASP,[Fe/H]_LASP,V_GC,Vesc(M),Pgc,Pub(M),Masas_M_sun,M_e_sup,G,G_BP,G_RP,Masa_LI,Masa_LS
Hivel185,1.1983617689484392,0.30372525270769835,60.055330828229415,3.945545384406112,G8,4808,77,-0.94,521,536,0.366,0.387,0.671272304154789,0.7543251094494992,13.62,12.64,11.6,0.08456198926334701,0.08305280529471015
Hivel230,,,,,F5,5940,26,-1.01,508,527,0.281,0.373,11.968515640854296,,13.49,12.14,11.51,,
Hivel254,1.1983823525378632,0.11669424269015316,27.165744385988248,10.269421394848168,G3,4942,25,-1.46,500,534,0.182,0.218,0.8116516863985269,1.2192217854414342,13.12,16.72,14.37,0.4245799312715377,0.4075700990429073
Hivel265,1.1994974124385804,0.06223584058536957,16.138160482721542,19.27341867895585,G5,4470,133,-1.14,496,548,0.566,0.27,0.3511311692754351,0.4194683708934552,12.58,17.9,15.47,0.0674013122586597,0.0683372016180201
Hivel289,1.1987004147393119,2.674594546570332,333.87959590976845,0.44818023587030087,G2,5368,43,-1.26,490,518,0.29,0.288,1.1426321839240028,1.3861394226917456,15.06,13.96,12.61,0.14112408814434896,0.24350723876774283
Hivel308,1.1990259263297391,0.18305799491346963,39.96246944947133,6.549978474835317,F0,6063,298,-1.37,486,515,0.303,0.322,0.5975305027333492,0.7823738683077482,16.01,16.35,13.9,0.13731095777346813,0.18484336557439907
Hivel310,,,,,F5,5631,36,-1.16,486,516,0.282,0.301,4.433093333071356,,13.12,13.45,12.61,,
Hivel345,1.1988796052939192,0.5811567572505778,99.61793474438898,2.0629194969112223,F0,6197,66,-1.67,480,511,0.262,0.183,0.8547540012767278,1.0369552979096437,14.55,12.99,11.3,0.12051985414099364,0.18220129663291584
Hivel385,1.198459110210502,0.01148784504132383,6.580780785529507,104.32410133488314,F5,5977,176,-1.33,476,516,0.991,0.167,0.6771360772571261,0.8856694776826337,15.66,16.35,15.66,0.13461958835614485,0.2085334004255076
Hivel418,1.1991075973414076,0.013560963266463943,6.878656576160882,88.42348244588071,F0,6155,32,-1.41,470,512,0.594,0.235,1.4261523674862175,1.7068375808465344,15.37,15.62,14.95,0.40293854206655944,0.2806852133603168
Hivel438,1.198562854854522,1.328060463957986,185.8986011484865,0.9024911797181843,F2,5821,239,-1.05,468,517,0.393,0.264,1.2575052348560682,1.5202337381868463,16.26,18.68,16.05,0.28335024877699966,0.262728503330778
Hivel460,,,,,G2,5027,14,-1.82,465,507,0.4,0.203,1.5915177771984166,1.8183883954761737,13.01,14.55,14.49,0.2764720000015788,0.22687061827775712
Hivel465,1.199562515656272,0.3297031161078108,60.99485945860883,3.6383111261345276,G1,5162,149,-1.61,465,518,0.284,0.184,0.6709555446144608,0.709929882655166,13.84,14.47,13.01,0.02418166580743042,0.03897433804070516
Hivel486,1.1998613076807736,0.07290812654433054,18.327138827699827,16.457168282210876,G0,5056,107,-1.52,462,523,0.564,0.139,0.3298597352902971,0.3875276263488692,14.41,20.28,17.59,0.04569070315126572,0.05766789105857212
Hivel487,1.1994468454369709,0.01291229805455707,6.344331876776025,92.89181835557586,G7,5334,262,-1.37,462,519,0.811,0.002,0.8686775119889568,0.9071531808060199,14.19,18.82,16.51,0.033078526336409175,0.0384756688170631
Hivel494,1.1988399370569898,0.011884415057992648,6.261483513181141,100.87496365677094,G2,5030,22,-1.43,461,520,0.878,0.155,0.9322207261315264,1.050431716681632,13.91,14.36,13.29,0.23931911942648343,0.11821099055010553
Hivel507,1.1983125188862707,0.2931320637878283,56.032723930035,4.087961253374249,F0,6163,120,-1.55,460,512,0.38,0.137,0.8525117568824983,1.0232053279589024,15.49,14.19,13.76,0.2472370732717012,0.17069357107640415
Hivel510,,,,,G3,5308,54,-0.93,460,499,0.365,0.174,1.7228073350225126,1.9912842257316177,14.68,17.34,16.27,0.2436457485257404,0.2684768907091051
Hivel518,,,,,G7,4932,30,-1.0,459,501,0.372,0.342,1.4326228617237322,1.4632668297309857,12.69,17.85,15.62,0.049144219519789756,0.03064396800725344
Hivel528,,,,,G7,4588,37,-1.01,458,507,0.179,0.276,1.047903186382246,1.2404005692829394,12.25,12.86,11.53,0.13484440374097906,0.1924973829006933
Hivel545,1.1995916449230708,0.011034830234887494,7.148103851293016,108.7095695528207,F7,5749,121,-1.33,455,509,0.446,0.135,0.3085150833287027,0.4046922137685296,16.59,18.59,16.3,0.1255927158001083,0.0961771304398269
Hivel549,1.1992892304193308,0.10248723194614495,24.61339637110126,11.701840391684438,G2,5256,23,-1.5,455,512,0.515,0.196,0.3991255367139499,0.49234482568524207,15.02,15.4,14.47,0.05999054687213229,0.09321928897129217
Hivel574,1.1973062901353302,0.01192863077907802,7.359059041251192,100.37248300411153,G2,5024,73,-1.38,452,507,0.948,0.041,0.8384066422505461,0.903852641939663,13.69,14.96,13.84,0.5447737957321498,0.06544599968911691
Hivel578,1.199923854513052,0.15274491632448672,32.73392429775321,7.855736762878378,F0,6217,203,-1.03,451,514,0.334,0.157,0.7093647145404646,0.9162942286550286,15.68,14.6,12.33,0.2513432746248406,0.20692951411456406
Hivel582,1.198713622454383,0.010385359147185191,6.908463635326081,115.42341535480531,G7,5115,271,-1.06,450,513,0.983,0.0,0.3517695482075092,0.3576892551546622,14.02,16.04,16.48,0.1437554245760173,0.005919706947152992
Hivel583,1.199827746166762,0.29305703328344634,54.86230063992181,4.094178299437987,G0,5752,84,-0.98,449,510,0.629,0.064,0.7773816508908749,0.923639502483524,16.04,13.81,12.66,0.14864385959030746,0.14625785159264915
