Unnamed: 0,Unnamed: 0.1,Gaia_designation,ID,specid,R.A.,e_R.A.,decl.,e_decl.,S/N_r,Class,RV_LASP,e_RV_LASP,pmra,e_pmra,pmdec,e_pmdec,parallax,e_parallax,G,G_BP,G_RP,astrometric_flag,RV_LASP_Calibrated,r,el_r,eu_r,x,el_x,eu_x,y,el_y,eu_y,z,el_z,eu_z,r_GC,el_r_GC,eu_r_GC,Vx,el_Vx,eu_Vx,Vy,el_Vy,eu_Vy,Vz,el_Vz,eu_Vz,V_GC,el_V_GC,eu_V_GC,e,el_e,eu_e,Zmax,el_Zmax,eu_Zmax,r_min,el_r_min,eu_r_min,E_Phi_Infinity,el_E_Phi_Infinity,eu_E_Phi_Infinity,Vesc(W),Vesc(G),Vesc(Ke),Vesc(Ko),Vesc(P),Vesc(M),Vesc(X),Pgc,PMW,Pub(W),Pub(G),Pub(Ke),Pub(Ko),Pub(P),Pub(M),Pub(X),Origin_Class,Teff_LASP,e_Teff_LASP,log(g)_LASP,e_log(g)_LASP,[Fe/H]_LASP,e_[Fe/H]_LASP,Teff_DD-Payne,e_Teff_DD-Payne,log(g)_DD-Payne,e_log(g)_DD-Payne,[Fe/H]_DD-Payne,e_[Fe/H]_DD-Payne,Alpha_Fe_DD-Payne,e_Alpha_Fe_DD-Payne,conservative_results,radial_velocity,radius_val,radius_percentile_lower,radius_percentile_upper,Masas,Masas_M_sun,err_Mas_inf_Msun,err_Mas_sup_Msun,delta_g
184,184,4552754742098901504,Hivel185,20160418HD175440N181108V0111132_v2.9.7,268.2977155,0.0154,20.53873019,0.0211,86,G8,-130,7,-1.805,0.037,-29.637,0.04,0.22,0.02,13.62,12.64,11.6,1,-124,4.6,0.4,0.4,-5.2,0.2,0.3,3.0,0.2,0.3,1.7,0.1,0.2,6.3,0.0,0.1,420,39,49,-204,37,32,-228,19,17,521,51,61,0.99214,0.0094,0.00367,499.0,417.2,666.8,0.1,0.1,0.1,-0.0001,0.0003,0.0004,643,621,618,589,557,536,508,0.366,0.366,0.035,0.062,0.064,0.141,0.279,0.387,0.586,HVS,4808,77,2.23,0.13,-0.94,0.07,4861,44,2.49,0.11,-0.83,0.06,0.28,0.03,1,,10.413773536682127,9.79920768737793,11.01663303375244,1.334824976811798e+30,0.671272304154789,0.08456198926334703,0.08305280529471021,0.013489628825916535
229,229,4595327282568833152,Hivel230,20140320HD172545N271812V0113162_v2.9.7,262.9380527,0.0115,28.07730918,0.0154,100,F5,-112,8,-9.852,0.026,-26.541,0.032,0.208,0.019,13.49,12.14,11.51,1,-107,4.8,0.4,0.5,-5.6,0.2,0.3,3.3,0.3,0.3,2.3,0.2,0.2,6.9,0.0,0.0,451,41,48,-236,40,36,-13,5,5,508,52,63,0.99111,0.00952,0.00408,146.7,77.3,55.8,49.7,49.5,12.6,-0.0001,0.0002,0.0003,634,614,609,580,548,527,502,0.281,0.374,0.031,0.056,0.063,0.129,0.252,0.373,0.549,HVS,5940,26,3.68,0.04,-1.01,0.02,5731,34,2.75,0.1,-1.24,0.05,0.29,0.02,1,,8.282833099365234,7.085122108459473,8.733254432678223,2.379939335183877e+31,11.968515640854296,,,
253,253,4557012394719359616,Hivel254,20170416HD172149N234110V0106117_v2.9.7,262.7684386,0.0071,22.49568271,0.0102,155,G3,-59,6,-4.48,0.016,-26.098,0.02,0.201,0.014,13.12,16.72,14.37,1,-53,5.0,0.3,0.4,-5.1,0.2,0.2,3.1,0.2,0.2,2.3,0.1,0.2,6.4,0.0,0.0,453,29,37,-176,29,26,-116,8,8,500,37,45,0.9888,0.00887,0.00524,104.8,55.2,223.6,1.4,0.7,1.4,-0.0001,0.0002,0.0002,640,619,615,585,553,534,507,0.182,0.457,0.003,0.01,0.012,0.035,0.127,0.218,0.43,HVS,4942,25,2.21,0.04,-1.46,0.02,5077,36,2.49,0.08,-1.32,0.05,0.24,0.02,1,,11.717733383178713,8.692535400390625,14.620146751403809,1.613969378403471e+30,0.8116516863985269,0.4245799312715377,0.4075700990429074,0.01096478196143185
264,264,4410589469176268416,Hivel265,20130310HD155427N020832B0102074_v2.9.7,237.8056909,0.0249,0.40269232,0.0178,20,G5,-4,8,6.345,0.051,-26.906,0.043,0.222,0.031,12.58,17.9,15.47,1,1,4.5,0.6,0.8,-4.7,0.4,0.6,0.5,0.1,0.1,2.9,0.4,0.5,5.6,0.2,0.2,353,43,57,-89,57,43,-338,57,46,496,66,91,0.98851,0.011,0.00764,190.6,129.1,1632.1,0.4,0.2,0.1,-0.0002,0.0003,0.0005,649,627,624,593,560,548,517,0.566,0.566,0.064,0.094,0.096,0.146,0.231,0.27,0.403,HVS,4470,133,1.55,0.33,-1.14,0.17,4775,232,2.05,0.58,-1.01,0.34,-0.05,0.15,0,17.799651670956713,16.477581024169922,15.392541885375977,17.584579467773438,6.982243301042027e+29,0.3511311692754351,0.06740131225865971,0.06833720161802015,0.021379620895022322
288,288,1239855357825463424,Hivel289,20150210HD141904N190355B0209220_v2.9.7,215.5075728,0.019,19.60236491,0.023,86,G2,1,8,12.141,0.057,-34.304,0.052,0.316,0.03,15.06,13.96,12.61,1,6,3.2,0.3,0.3,-7.1,0.1,0.1,0.4,0.0,0.0,3.0,0.3,0.3,7.7,0.0,0.0,472,41,47,-18,28,25,-130,17,15,490,43,52,0.98997,0.01038,0.0039,117.9,65.2,344.6,0.8,0.4,2.3,-0.0001,0.0002,0.0003,624,608,600,571,538,518,494,0.29,0.462,0.013,0.02,0.029,0.072,0.176,0.288,0.463,HVS,5368,43,3.48,0.07,-1.26,0.04,5404,38,3.53,0.11,-1.27,0.07,0.26,0.03,1,,3.221899509429932,3.0235612392425537,3.564583539962769,2.27212409773288e+30,1.1426321839240028,0.14112408814434893,0.24350723876774294,0.011748975549395295
307,307,1247482768771074432,Hivel308,20170523HD135706N205714B0113173_v2.9.7,210.8872535,0.0433,21.72903575,0.0428,32,F0,-20,17,19.63,0.125,-50.646,0.102,0.477,0.058,16.01,16.35,13.9,1,-15,2.1,0.2,0.3,-7.6,0.1,0.1,0.2,0.0,0.0,2.0,0.2,0.3,7.9,0.0,0.0,469,48,64,-13,37,28,-118,22,21,486,51,67,0.9902,0.01062,0.00445,101.1,74.4,406.1,0.6,0.3,1.5,-0.0001,0.0003,0.0003,624,608,599,571,539,515,492,0.303,0.481,0.037,0.049,0.056,0.115,0.208,0.322,0.445,HVS,6063,298,4.21,0.48,-1.37,0.28,5957,66,3.79,0.23,-1.57,0.12,0.3,0.07,0,,1.0053998231887815,0.8899742960929871,1.1608141660690308,1.1881894046852649e+30,0.5975305027333492,0.1373109577734681,0.18484336557439915,0.03019951720402016
309,309,3725136049056254592,Hivel310,20140322HD134851N094247V05198_v2.9.7,206.1886604,0.0211,9.06878313,0.0194,113,F5,69,9,12.249,0.045,-23.302,0.041,0.242,0.027,13.12,13.45,12.61,1,74,4.1,0.4,0.6,-6.7,0.2,0.2,-0.5,0.1,0.1,3.8,0.4,0.5,7.8,0.1,0.1,471,46,60,36,29,22,-117,26,22,486,46,63,0.98857,0.00973,0.00529,159.7,90.1,280.3,0.6,0.2,3.2,-0.0001,0.0002,0.0003,622,607,597,567,535,516,493,0.282,0.414,0.023,0.042,0.059,0.106,0.215,0.301,0.439,HVS,5631,36,3.22,0.06,-1.16,0.03,5644,39,2.45,0.1,-1.37,0.04,0.26,0.02,0,,8.560757637023926,8.301175117492676,9.399285316467283,8.815206092812391e+30,4.433093333071356,,,
344,344,3698771035828394368,Hivel345,20120215F559730609031_v2.9.7,182.6251996,0.0302,-0.00221617,0.0223,70,F0,42,16,30.255,0.071,-56.338,0.047,0.574,0.041,14.55,12.99,11.3,1,47,1.7,0.1,0.1,-8.0,0.0,0.0,-0.8,0.1,0.1,1.6,0.1,0.1,8.2,0.0,0.0,463,31,33,-3,20,17,-126,18,18,480,33,35,0.98891,0.00941,0.00409,104.7,66.8,313.5,1.0,0.6,1.5,-0.0002,0.0001,0.0002,621,605,596,570,537,511,489,0.262,0.519,0.0,0.0,0.004,0.013,0.072,0.183,0.4,HVS,6197,66,4.04,0.11,-1.67,0.06,6243,48,3.83,0.15,-1.67,0.08,0.21,0.04,1,,1.462444305419922,1.3594282865524292,1.6182273626327517,1.6996783315387734e+30,0.8547540012767278,0.12051985414099363,0.18220129663291593,0.01288249551693134
384,384,1267516459040509056,Hivel385,20130214HD144325N263140F0108173_v2.9.7,221.4877243,0.033,25.87594721,0.0335,37,F5,-167,13,-57.245,0.083,20.637,0.09,0.556,0.048,15.66,16.35,15.66,1,-162,1.8,0.1,0.2,-7.6,0.0,0.1,0.5,0.0,0.0,1.6,0.1,0.1,7.8,0.0,0.0,-468,40,33,10,19,16,81,20,24,476,35,42,0.99409,0.00703,0.00375,37.9,23.1,174.9,0.2,0.1,0.3,-0.0002,0.0002,0.0002,626,609,601,574,541,516,493,0.991,1.0,0.004,0.006,0.01,0.029,0.085,0.167,0.329,HVS,5977,176,4.23,0.27,-1.33,0.16,5926,68,3.96,0.24,-1.43,0.12,0.17,0.09,1,,1.0459158420562744,0.9420053362846376,1.2069106101989746,1.3464850896257952e+30,0.6771360772571261,0.13461958835614488,0.20853340042550766,0.018620871366628676
417,417,1477370691426238720,Hivel418,20170402HD141746N331518M0201110_v2.9.7,214.9035232,0.0291,31.37798895,0.0311,106,F0,23,11,-31.047,0.079,12.983,0.066,0.323,0.038,15.37,15.62,14.95,1,28,3.1,0.3,0.4,-7.5,0.1,0.1,0.8,0.1,0.1,2.9,0.3,0.4,8.1,0.0,0.1,-423,59,47,100,22,17,178,19,22,470,44,57,0.99097,0.01772,0.00692,101.9,60.2,707.7,0.9,0.6,0.5,-0.0002,0.0002,0.0003,620,605,595,566,534,512,490,0.594,1.0,0.02,0.035,0.044,0.079,0.139,0.235,0.36,HVS,6155,32,4.04,0.05,-1.41,0.03,6115,36,3.75,0.11,-1.51,0.03,0.21,0.03,0,,1.8890424966812127,1.6222784519195557,2.07483983039856,2.8359039827463434e+30,1.4261523674862175,0.40293854206655944,0.2806852133603168,0.011220184543019634
437,437,1277487174079395584,Hivel438,20170417HD152148N325601B0206133_v2.9.7,232.9660515,0.0302,32.49286592,0.0548,18,F2,-182,11,4.083,0.066,-50.306,0.133,0.436,0.06,16.26,18.68,16.05,1,-176,2.3,0.3,0.4,-7.4,0.1,0.1,1.0,0.1,0.2,1.9,0.2,0.3,7.7,0.0,0.0,414,60,79,-131,50,40,-174,10,10,468,64,86,0.98343,0.0131,0.0102,78.2,45.9,620.3,0.9,0.3,0.4,-0.0003,0.0003,0.0004,626,609,601,574,541,517,494,0.393,0.619,0.047,0.064,0.073,0.112,0.191,0.264,0.371,HVS,5821,239,4.44,0.37,-1.05,0.22,5760,72,4.4,0.27,-1.22,0.14,0.27,0.09,0,,1.1192153692245483,0.9931681156158448,1.2360856533050537,2.500549159511292e+30,1.2575052348560682,0.28335024877699977,0.26272850333077813,0.02344228815319922
459,459,1285140492266249216,Hivel460,20160515HD142214N292211V0215225_v2.9.7,215.4196565,0.0168,30.8592437,0.0168,221,G2,-153,6,5.972,0.048,-21.745,0.041,0.203,0.022,13.01,14.55,14.49,1,-147,4.9,0.5,0.5,-7.1,0.1,0.1,1.3,0.1,0.1,4.6,0.5,0.5,8.6,0.2,0.2,430,45,50,-61,31,27,-164,7,7,465,46,52,0.98692,0.01028,0.00562,140.1,76.5,405.3,0.6,0.2,5.0,-0.0002,0.0002,0.0003,613,600,589,558,527,507,486,0.4,0.515,0.023,0.03,0.037,0.07,0.14,0.203,0.332,HVS,5027,14,2.34,0.02,-1.82,0.01,5199,33,2.68,0.09,-1.62,0.05,0.25,0.02,0,-155.26810846480532,14.127473831176758,12.934199333190918,15.10059928894043,3.164733099959051e+30,1.5915177771984166,0.27647200000157884,0.2268706182777572,0.010471285480508996
464,464,4597806440771666432,Hivel465,20140419HD175745N291452V0116227_v2.9.7,268.1106858,0.0104,31.28575997,0.0116,20,G1,-375,8,-6.615,0.023,-16.094,0.025,0.148,0.014,13.84,14.47,13.01,1,-370,6.8,0.6,0.7,-4.8,0.3,0.4,5.1,0.4,0.6,2.9,0.2,0.3,7.6,0.2,0.3,283,38,50,-351,35,28,-110,5,6,465,43,55,0.98539,0.01487,0.00739,80.3,46.5,148.0,1.0,0.3,1.6,-0.0002,0.0002,0.0003,625,607,600,571,539,518,495,0.284,0.605,0.011,0.016,0.022,0.043,0.11,0.184,0.295,HVS,5162,149,2.12,0.38,-1.61,0.2,5175,167,1.75,0.41,-1.54,0.26,0.03,0.12,1,,11.816956520080566,11.711527824401855,12.052650451660156,1.3341951004658554e+30,0.6709555446144608,0.024181665807430478,0.03897433804070523,0.023988329190194904
485,485,1318462502112720384,Hivel486,20140304HD161644N290900B03166_v2.9.7,243.3588306,0.0147,29.22265336,0.0212,52,G0,-56,10,-6.109,0.035,-33.038,0.045,0.269,0.023,14.41,20.28,17.59,1,-51,3.7,0.3,0.4,-6.5,0.1,0.2,1.9,0.2,0.2,2.7,0.2,0.3,7.3,0.0,0.0,427,35,43,-175,40,34,-27,7,7,462,45,57,0.98427,0.00986,0.00673,95.4,44.9,65.6,0.8,0.3,79.0,-0.0003,0.0002,0.0003,629,612,605,575,543,523,498,0.564,0.692,0.002,0.008,0.011,0.024,0.08,0.139,0.243,HVS,5056,107,2.47,0.17,-1.52,0.1,5256,60,2.99,0.18,-1.37,0.1,0.28,0.05,1,,5.537623405456543,5.1679768562316895,6.007805347442627,6.559260836247557e+29,0.3298597352902971,0.045690703151265735,0.05766789105857215,0.014791083881682075
486,486,1325089293053553664,Hivel487,20130520HD162945N351206B07100_v2.9.7,249.4389888,0.0135,33.46529816,0.019,36,G7,-211,10,-20.792,0.03,33.97,0.039,0.468,0.021,14.19,18.82,16.51,1,-206,2.1,0.1,0.1,-7.3,0.0,0.0,1.3,0.1,0.1,1.4,0.1,0.1,7.5,0.0,0.0,-427,17,18,162,6,7,66,12,11,462,17,17,0.98514,0.00695,0.00545,26.7,10.4,11.2,0.9,0.1,0.1,-0.0003,0.0001,0.0001,629,611,604,577,544,519,496,0.811,1.0,0.0,0.0,0.0,0.0,0.0,0.002,0.027,HVS,5334,262,3.4,0.41,-1.37,0.24,5415,76,3.61,0.23,-1.29,0.13,0.26,0.07,1,,3.0802648067474365,3.023193836212158,3.146904706954956,1.7273652325900406e+30,0.8686775119889568,0.03307852633640929,0.03847566881706314,0.025703957827688636
493,493,1270017401319252096,Hivel494,20160312HD152134N242036V0204202_v2.9.7,230.7105596,0.013,24.73979031,0.0151,151,G2,-14,6,-19.55,0.029,8.187,0.03,0.203,0.023,13.91,14.36,13.29,1,-9,4.9,0.5,0.6,-6.0,0.2,0.3,1.7,0.2,0.2,4.1,0.4,0.5,7.5,0.1,0.1,-364,47,41,71,22,19,273,29,35,461,46,55,0.99018,0.01145,0.00731,111.6,61.5,809.2,0.6,0.5,0.3,-0.0003,0.0002,0.0003,624,609,600,569,537,520,496,0.878,1.0,0.007,0.013,0.022,0.049,0.105,0.155,0.246,HVS,5030,22,2.49,0.04,-1.43,0.02,5147,36,2.57,0.09,-1.28,0.06,0.25,0.02,0,,9.097417831420898,7.945815563201904,9.6580810546875,1.85372091391254e+30,0.9322207261315264,0.2393191194264834,0.11821099055010557,0.01096478196143185
506,506,1488634329059921920,Hivel507,20160528HD144344N402733B0106086_v2.9.7,223.031711,0.021,40.10125171,0.0232,40,F0,-150,15,7.859,0.043,-40.39,0.049,0.374,0.031,15.49,14.19,13.76,1,-145,2.7,0.2,0.3,-7.7,0.0,0.0,1.2,0.1,0.1,2.4,0.2,0.2,8.2,0.0,0.0,447,35,45,-58,25,20,-91,13,14,460,36,47,0.98821,0.00871,0.00484,69.0,37.7,78.9,0.4,0.3,1.6,-0.0002,0.0002,0.0002,620,605,595,568,535,512,490,0.38,0.622,0.002,0.004,0.005,0.015,0.061,0.137,0.272,HVS,6163,120,4.08,0.2,-1.55,0.12,6095,60,3.77,0.22,-1.61,0.11,0.2,0.07,1,,1.3947904109954834,1.192630648612976,1.5343339443206787,1.6952196285608477e+30,0.8525117568824983,0.24723707327170125,0.17069357107640423,0.015848931924611134
509,509,1532306449878388480,Hivel510,20150424HD123847N391831B0114039_v2.9.7,186.7248778,0.0225,39.52757147,0.0167,85,G3,80,7,-33.368,0.041,3.297,0.033,0.317,0.027,14.68,17.34,16.27,1,85,3.2,0.3,0.3,-8.8,0.1,0.0,0.4,0.0,0.0,3.1,0.3,0.3,9.3,0.1,0.1,-455,43,38,55,19,18,31,8,9,460,35,40,0.99109,0.00959,0.00547,236.8,150.4,613.0,1.2,0.4,4.4,-0.0002,0.0001,0.0002,608,595,583,555,523,499,480,0.365,1.0,0.001,0.005,0.007,0.024,0.076,0.174,0.308,HVS,5308,54,3.53,0.09,-0.93,0.05,5304,38,3.47,0.11,-0.97,0.06,0.24,0.03,1,,3.734884023666382,3.471461534500122,4.025222301483154,3.4258023856922663e+30,1.7228073350225126,0.24364574852574034,0.2684768907091052,0.012302687708123816
517,517,3897377367341812224,Hivel518,20160118KP114551N063145V0105025_v2.9.7,176.7297079,0.0481,5.17472409,0.0274,136,G7,266,6,-30.012,0.085,-4.085,0.048,0.27,0.053,12.69,17.85,15.62,1,272,3.7,0.6,1.0,-8.3,0.0,0.0,-1.7,0.4,0.3,3.3,0.5,0.9,9.1,0.2,0.5,-423,113,69,-148,72,44,92,42,26,459,70,124,0.99091,0.01548,0.00651,177.2,156.2,1202.6,1.6,1.0,6.7,-0.0002,0.0003,0.0007,609,596,585,556,525,501,481,0.372,0.957,0.134,0.145,0.165,0.227,0.291,0.342,0.407,HVS,4932,30,2.36,0.05,-1.0,0.03,4915,38,2.33,0.09,-1.0,0.05,0.2,0.02,0,272.73653846496995,13.098594665527344,12.906006813049316,13.206607818603516,2.8487705605376416e+30,1.4326228617237322,0.04914421951978983,0.030643968007253598,0.011220184543019634
527,527,2106912978904177024,Hivel528,20140529KP185111N464417V0201094_v2.9.7,282.6440816,0.0207,44.74887236,0.0244,134,G7,-294,6,-8.181,0.045,-18.051,0.047,0.185,0.026,12.25,12.86,11.53,1,-289,5.4,0.7,0.9,-6.8,0.2,0.2,4.9,0.6,0.8,1.8,0.2,0.3,8.6,0.2,0.4,425,59,79,-163,25,21,-48,5,6,458,61,81,0.98024,0.0118,0.01275,27.8,18.8,35.6,1.4,0.7,0.7,-0.0002,0.0003,0.0004,617,600,592,565,533,507,486,0.179,0.57,0.047,0.058,0.074,0.107,0.19,0.276,0.35,HVS,4588,37,1.67,0.06,-1.01,0.04,4628,29,1.66,0.07,-1.01,0.05,0.29,0.02,0,-280.5491073595788,24.792444229125977,23.5015869140625,26.765310287475582,2.0837554861210965e+30,1.047903186382246,0.13484440374097917,0.1924973829006932,0.011481536214968828
544,544,1499432254799677824,Hivel545,20190506HD140207N433332M0203011_v2.9.7,209.9623882,0.033,43.06776823,0.0349,37,F7,60,12,-56.57,0.057,7.371,0.063,0.511,0.05,16.59,18.59,16.3,1,65,2.0,0.2,0.2,-8.1,0.0,0.0,0.7,0.1,0.1,1.9,0.2,0.2,8.4,0.0,0.0,-414,45,38,-11,30,27,188,15,17,455,38,49,0.98841,0.00884,0.00744,75.0,28.9,64.6,1.3,0.9,2.5,-0.0002,0.0002,0.0002,619,604,594,567,534,509,488,0.446,1.0,0.006,0.008,0.009,0.025,0.065,0.135,0.243,HVS,5749,121,4.14,0.2,-1.33,0.12,5823,43,4.44,0.14,-1.3,0.08,0.21,0.05,1,,0.7830634713172913,0.623720645904541,0.9050754308700562,6.134822431991253e+29,0.3085150833287027,0.1255927158001083,0.09617713043982694,0.015848931924611134
548,548,1248680690985095168,Hivel549,20170126HD133001N190343B0208098_v2.9.7,203.9932633,0.0268,18.82114381,0.0212,128,G2,-17,8,12.131,0.076,-32.544,0.04,0.313,0.038,15.02,15.4,14.47,1,-12,3.2,0.3,0.4,-7.5,0.1,0.1,0.0,0.0,0.0,3.1,0.3,0.4,8.1,0.0,0.1,441,41,60,-27,38,28,-110,17,13,455,44,65,0.98744,0.00943,0.00544,82.2,44.7,251.8,0.5,0.4,0.5,-0.0002,0.0002,0.0003,620,605,595,566,534,512,490,0.515,0.609,0.017,0.023,0.031,0.07,0.128,0.196,0.289,HVS,5256,23,3.03,0.04,-1.5,0.02,5388,34,3.52,0.08,-1.41,0.06,0.28,0.02,0,,3.196785688400269,2.95817494392395,3.568468809127808,7.936611297556894e+29,0.3991255367139499,0.05999054687213233,0.09321928897129224,0.01096478196143185
573,573,1366088157507230208,Hivel574,20130413HD172033N481119M0114187_v2.9.7,257.3233154,0.013,48.11856848,0.0153,69,G2,-54,10,-7.118,0.026,16.248,0.029,0.207,0.015,13.69,14.96,13.84,1,-48,4.9,0.4,0.3,-7.1,0.1,0.1,3.8,0.3,0.3,2.9,0.2,0.2,8.6,0.1,0.1,-381,26,29,213,7,8,117,11,12,452,25,26,0.98892,0.00758,0.00577,77.9,39.9,208.3,0.3,0.2,0.3,-0.0003,0.0001,0.0001,615,600,590,562,530,507,486,0.948,1.0,0.0,0.0,0.0,0.002,0.013,0.041,0.114,HVS,5024,73,2.35,0.12,-1.38,0.07,5174,54,2.73,0.16,-1.33,0.08,0.27,0.04,1,,10.136455535888672,6.873103141784668,10.502237319946287,1.667171608115211e+30,0.8384066422505461,0.5447737957321498,0.06544599968911691,0.01318256738556407
577,577,1258269153933559040,Hivel578,20150209HD135728N245954B0109006_v2.9.7,210.4821965,0.0339,25.1115157,0.0361,21,F0,-56,9,11.817,0.089,-56.913,0.08,0.501,0.054,15.68,14.6,12.33,1,-51,2.0,0.2,0.2,-7.7,0.0,0.1,0.3,0.0,0.0,1.9,0.2,0.2,8.0,0.0,0.0,430,40,53,-94,43,30,-101,11,10,451,44,62,0.9826,0.00902,0.0084,43.9,26.7,220.4,1.0,0.3,1.7,-0.0003,0.0002,0.0003,623,607,598,571,538,514,491,0.334,0.678,0.014,0.019,0.022,0.042,0.085,0.157,0.246,HVS,6217,203,4.27,0.32,-1.03,0.19,6155,82,4.27,0.28,-0.97,0.14,0.25,0.09,0,,1.0223357677459717,0.8412752747535706,1.1713917255401611,1.4105717348637137e+30,0.7093647145404646,0.25134327462484063,0.20692951411456406,0.020892961308540396
581,581,1245536671845239168,Hivel582,20130210HD140137N164527B0115140_v2.9.7,210.3657064,0.0148,17.78919145,0.0179,21,G7,-120,8,-248.864,0.051,68.486,0.039,2.501,0.028,14.02,16.04,16.48,1,-114,0.4,0.0,0.0,-8.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,8.1,0.0,0.0,-444,6,6,48,3,3,47,7,8,450,6,5,0.98915,0.01157,0.00275,12.2,3.3,2.5,0.5,0.1,0.2,-0.0003,0.0,0.0,624,608,599,575,541,513,490,0.983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HVS,5115,271,4.37,0.44,-1.06,0.26,5263,94,4.24,0.26,-0.92,0.14,0.32,0.08,1,,0.6416347622871399,0.5105660557746887,0.6469959020614624,6.99493746610632e+29,0.3517695482075092,0.1437554245760173,0.00591970694715304,0.027542287033381664
582,582,1468407678797108992,Hivel583,20170124HD132818N310857M0204233_v2.9.7,202.5525645,0.0289,31.35366564,0.0232,57,G0,-186,11,17.583,0.049,-52.237,0.034,0.523,0.043,16.04,13.81,12.66,1,-181,1.9,0.1,0.2,-8.0,0.0,0.0,0.3,0.0,0.0,1.9,0.1,0.2,8.3,0.0,0.0,415,29,38,-51,26,19,-164,10,11,449,28,39,0.98702,0.01033,0.00488,73.1,29.3,210.8,0.5,0.3,0.5,-0.0003,0.0001,0.0002,620,604,595,568,535,510,489,0.629,0.755,0.001,0.002,0.004,0.005,0.02,0.064,0.152,HVS,5752,84,4.33,0.14,-0.98,0.08,5752,34,4.47,0.1,-1.01,0.07,0.22,0.04,1,,0.9987939596176147,0.9033360481262208,1.0927190780639648,1.5458234127965043e+30,0.7773816508908749,0.14864385959030751,0.1462578515926492,0.013803842646028847
